"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","X1","Volunteer1_plasma_0h_POS.mzML","Volunteer1_plasma_1h_POS.mzML","Volunteer1_plasma_24h_POS.mzML","Volunteer1_plasma_4h_POS.mzML","Volunteer2_plasma_0h_POS.mzML","Volunteer2_plasma_1h_POS.mzML","Volunteer2_plasma_24h_POS.mzML","Volunteer2_plasma_4h_POS.mzML","Volunteer3_plasma_0h_POS.mzML","Volunteer3_plasma_1h_POS.mzML","Volunteer3_plasma_24h_POS.mzML","Volunteer3_plasma_4h_POS.mzML","Volunteer4_plasma_0h_POS.mzML","Volunteer4_plasma_1h_POS.mzML","Volunteer4_plasma_24h_POS.mzML","Volunteer4_plasma_4h_POS.mzML","isotopes","adduct","pcgroup"
"7379",460.311134052731,460.311043519776,460.311134054638,212.068916320801,209.846878051758,214.723129272461,16,16,3913311.55292017,5284563.66005658,3768915.57486091,4542088.53225759,3229586.0580193,3661622.536875,2745635.81519918,2897131.96863937,4960480.0085532,5092265.85504193,4129629.54627381,3998025.14645196,4988286.36922711,4601568.63678146,4298626.12646387,4892138.8161175,"","","5"
"7380",460.362294697912,460.36180182847,460.362787567354,754.869354248047,752.752990722656,756.985717773438,2,2,33135.1763064176,60404.0784415897,81680.2950390484,18182.5352595399,11751.0337312952,26344.6897020519,13869.2531822234,14869.1440457165,21823.9938591808,24688.2447675777,41312.9215339646,NA,9926.05120459013,NA,20794.5545985714,NA,"","","1517"
"7381",460.981800988931,460.981800988931,460.981800988931,928.95947265625,928.95947265625,928.95947265625,1,1,0,8011.04301561229,39671.5896073449,18285.9175293036,19628.3164740801,NA,7908.01653800905,11221.3856544793,17082.103067467,8846.00924250856,22241.0404021963,36634.9082273711,8423.03284493275,28309.264488849,46913.0199932658,25435.8856517132,"","","1189"
"7382",460.991681944333,460.990777738252,460.992164895171,928.68701171875,925.477294921875,928.95947265625,4,4,24348.7081275412,37387.7667925447,21499.8192267597,35983.3002469844,41771.5809027016,37078.6075325318,24950.8188330152,7831.44661751688,21868.8501742048,47865.2710525949,39416.0774711544,23134.1369779825,29527.7348112458,28608.5619704798,43384.8936067206,20829.7107961699,"","[M+H]+ 459.978","11"
"7383",461.078896718224,461.078735427706,461.078896718719,293.501983642578,291.312652587891,297.451934814453,3,3,NA,44291.9175641596,NA,78817.6953199267,43838.0879727602,87988.1650734067,476187.90500517,117659.605782688,181140.505967176,153034.100207004,76703.4117644191,227082.356516455,66214.0559624076,15360.3136807501,40253.4326115727,46303.3631038249,"","","3"
"7384",461.107550251347,461.106953572372,461.108586068866,824.789184570312,821.590942382812,827.919677734375,16,16,80871.5609666217,78814.8564696732,83268.7597757015,78300.6145229228,63618.4325233153,55733.032176471,69957.6023551812,67496.1173591305,107382.876049588,131784.924666794,113035.163138708,113055.98749039,37008.3540653401,51682.2971198911,88108.5813342348,35506.3135710245,"[868][M+1]+","","23"
"7385",461.191139515458,461.190694729238,461.191139517773,568.427856445312,563.9951171875,572.168334960938,16,16,711398.27014032,164061.356782331,600710.179182445,320200.840352338,273556.32516643,220667.319507874,266144.952209756,417396.912598864,164846.451154937,235896.787172729,335972.415989557,121619.212927653,488484.198809533,556705.570132513,1048323.22209394,894595.515109129,"[870][M]+","","2228"
"7386",461.220606410731,461.220606410731,461.220606410731,178.085327148438,178.085327148438,178.085327148438,1,1,62104.0777542591,66889.2523857474,168966.338295948,109465.64475075,199785.931891958,147629.34850105,213618.247680664,49766.1115857124,79087.716111803,92277.8031319876,194068.538200688,69777.1640370727,219414.215640867,277253.451962881,NA,60501.5119155745,"","","2980"
"7387",461.22682683454,461.226691610751,461.228095926587,298.83235168457,297.195,303.455627441406,4,4,NA,NA,NA,NA,140135.572655182,172918.976980287,91966.8026924745,187209.843446462,31090.3684190949,NA,27836.0892417538,12800.1801205945,NA,NA,29318.2980943943,40496.8714735846,"","","3"
"7388",461.241590101369,461.241003505123,461.241862681478,407.001327514648,399.653472900391,414.156860351562,16,16,81496.0951411577,54822.4549535414,82080.5918314151,56561.4548486419,85046.7210979781,41855.2075353747,56244.1684927822,105398.631807129,58682.3026585852,73996.8372204419,80181.0593084288,64436.9738372707,43566.6054142684,67138.4978196002,59008.7506303712,87318.9052226188,"","","30"
